ICE/OJH2013,"FCOJ-A Futures, March 2013 (OJH2013)"
ICE/PN2008,"UK Peak Electricity Futures, July 2008 (PN2008)"
ICE/BPBX2014,"Endex Belgian Power Base Load Futures, November 2014 (BPBX2014)"
ICE/BN2000,"Brent Crude Oil Futures, July 2000, BN2000, ICE"
ICE/PV2010,"UK Peak Electricity Futures, October 2010 (PV2010)"
ICE/ATWM2008,"Rotterdam Coal Futures, June 2008 (ATWM2008)"
ICE/ERUZ2012,"ECX ERU Futures, December 2012 (ERUZ2012)"
ICE/OJK1980,"Orange Juice Futures, May 1980, OJK1980, ICE"
ICE/ATWN2013,"Rotterdam Coal Futures, July 2013 (ATWN2013)"
ICE/BPBF2010,"ENDEX Belgian Power Base Load (legacy), January 2010 (BPBF2010)"
ICE/MZ2007,"UK Natural Gas Futures, December 2007 (MZ2007)"
ICE/SYZ2004,"GBP/JPY, December 2004 (SYZ2004)"
ICE/DXU2005,"US Dollar Index Futures, September 2005 (DXU2005)"
ICE/IBON2012,"US Soybean Oil Futures, July 2012 (IBON2012)"
ICE/TX2014,"WTI Crude Futures, November 2014 (TX2014)"
ICE/YM2010,"UK Base Electricity Futures, June 2010 (YM2010)"
ICE/IBOV2014,"US Soybean Oil Futures, October 2014 (IBOV2014)"
ICE/KCH1976,"Coffee Futures, March 1976, KCH1976, ICE"
ICE/SBX2011,"Sugar No. 11 Futures, November 2011 (SBX2011)"
ICE/CTH1963,"Cotton No. 2 Futures, March 1963, CTH1963, ICE"
ICE/CTN1968,"Cotton No. 2 Futures, July 1968, CTN1968, ICE"
ICE/ATWK2012,"Rotterdam Coal Futures, May 2012 (ATWK2012)"
ICE/HOJ1988,"Heating Oil Futures, April 1988, HOJ1988, NYMEX"
ICE/HOJ2016,"Heating Oil Futures, April 2016, HOJ2016, NYMEX"
ICE/BRV2019,"Brazilian Real (BRL/USD) Futures, October 2019, BRV2019, CME"
ICE/BRF2016,"Brazilian Real (BRL/USD) Futures, January 2016, BRF2016, CME"
ICE/CIQ2010,"Continuous Commodity Index Futures, August 2010, CIQ2010, ICE"
ICE/ERUM2011,"ECX ERU Futures, June 2011 (ERUM2011)"
ICE/OJU1991,"Orange Juice Futures, September 1991, OJU1991, ICE"
ICE/DXZ2012,"US Dollar Index Futures, December 2012 (DXZ2012)"
ICE/OJK1981,"Orange Juice Futures, May 1981, OJK1981, ICE"
ICE/CG2008,"ECX EUA Futures, February 2008 (CG2008)"
ICE/ATWF2010,"Rotterdam Coal Futures, January 2010 (ATWF2010)"
ICE/ICNK2014,"Corn Futures, May 2014 (ICNK2014)"
ICE/OJF1976,"Orange Juice Futures, January 1976, OJF1976, ICE"
ICE/CTV1963,"Cotton No. 2 Futures, October 1963, CTV1963, ICE"
ICE/CTH1961,"Cotton No. 2 Futures, March 1961, CTH1961, ICE"
ICE/CTZ1962,"Cotton No. 2 Futures, December 1962, CTZ1962, ICE"
ICE/YM2014,"UK Base Electricity Futures, June 2014 (YM2014)"
ICE/CTK1967,"Cotton No. 2 Futures, May 1967, CTK1967, ICE"
ICE/CTV1969,"Cotton No. 2 Futures, October 1969, CTV1969, ICE"
ICE/HOJ1981,"Heating Oil Futures, April 1981, HOJ1981, NYMEX"
ICE/CEUV2018,"ECX EUAA Futures, October 2018 (CEUV2018)"
ICE/HOJ2012,"Heating Oil Futures, April 2012, HOJ2012, NYMEX"
ICE/HOJ2014,"Heating Oil Futures, April 2014, HOJ2014, NYMEX"
ICE/HOJ2009,"Heating Oil Futures, April 2009, HOJ2009, NYMEX"
ICE/BH2014,"Brent Crude Futures, March 2014 (BH2014)"
ICE/HOJ1984,"Heating Oil Futures, April 1984, HOJ1984, NYMEX"
ICE/SBU1968,"Sugar No. 11 Futures, September 1968, SBU1968, ICE"
ICE/OJH1970,"Orange Juice Futures, March 1970, OJH1970, ICE"
ICE/HOJ2013,"Heating Oil Futures, April 2013, HOJ2013, NYMEX"
ICE/BRV2012,"Brazilian Real (BRL/USD) Futures, October 2012, BRV2012, CME"
ICE/TFZ1999,"Russell 2000 Index Futures, December 1999, TFZ1999, ICE"
ICE/TFH1997,"Russell 2000 Index Futures, March 1997, TFH1997, ICE"
ICE/TFM1995,"Russell 2000 Index Futures, June 1995, TFM1995, ICE"
ICE/TFM1993,"Russell 2000 Index Futures, June 1993, TFM1993, ICE"
ICE/TFU1993,"Russell 2000 Index Futures, September 1993, TFU1993, ICE"
ICE/TFZ1995,"Russell 2000 Index Futures, December 1995, TFZ1995, ICE"
ICE/TFM1996,"Russell 2000 Index Futures, June 1996, TFM1996, ICE"
ICE/TFU1996,"Russell 2000 Index Futures, September 1996, TFU1996, ICE"
ICE/TFU1998,"Russell 2000 Index Futures, September 1998, TFU1998, ICE"
ICE/TFM2001,"Russell 2000 Index Futures, June 2001, TFM2001, ICE"
ICE/TFU2001,"Russell 2000 Index Futures, September 2001, TFU2001, ICE"
ICE/OJU1998,"Orange Juice Futures, September 1998, OJU1998, ICE"
ICE/ARM2019,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, June 2019 (ARM2019)"
ICE/CIM2011,"Continuous Commodity Index Futures, June 2011, CIM2011, ICE"
ICE/CIF2012,"Continuous Commodity Index Futures, January 2012, CIF2012, ICE"
ICE/CIG2011,"Continuous Commodity Index Futures, February 2011, CIG2011, ICE"
ICE/CIF2008,"Continuous Commodity Index Futures, January 2008, CIF2008, ICE"
ICE/CIQ2008,"Continuous Commodity Index Futures, August 2008, CIQ2008, ICE"
ICE/CIF2009,"Continuous Commodity Index Futures, January 2009, CIF2009, ICE"
ICE/CIG2006,"Continuous Commodity Index Futures, February 2006, CIG2006, ICE"
ICE/CIX2006,"Continuous Commodity Index Futures, November 2006, CIX2006, ICE"
ICE/CIJ2013,"Continuous Commodity Index Futures, April 2013, CIJ2013, ICE"
ICE/CIG2010,"Continuous Commodity Index Futures, February 2010, CIG2010, ICE"
ICE/CIQ2012,"Continuous Commodity Index Futures, August 2012, CIQ2012, ICE"
ICE/EDX1999,"Eurodollar Futures, November 1999, EDX1999, CME"
ICE/EDX2011,"Eurodollar Futures, November 2011, EDX2011, CME"
ICE/DXU1990,"Dollar Index Futures, September 1990, DXU1990, ICE"
ICE/DXZ1986,"Dollar Index Futures, December 1986, DXZ1986, ICE"
ICE/HOJ1992,"Heating Oil Futures, April 1992, HOJ1992, NYMEX"
ICE/EDX2009,"Eurodollar Futures, November 2009, EDX2009, CME"
ICE/DXU1992,"Dollar Index Futures, September 1992, DXU1992, ICE"
ICE/DXU1997,"Dollar Index Futures, September 1997, DXU1997, ICE"
ICE/DXM1997,"Dollar Index Futures, June 1997, DXM1997, ICE"
ICE/DXU1996,"Dollar Index Futures, September 1996, DXU1996, ICE"
ICE/DXU1998,"Dollar Index Futures, September 1998, DXU1998, ICE"
ICE/DXU1993,"Dollar Index Futures, September 1993, DXU1993, ICE"
ICE/DXU1994,"Dollar Index Futures, September 1994, DXU1994, ICE"
ICE/DXZ1993,"Dollar Index Futures, December 1993, DXZ1993, ICE"
ICE/ARU2019,"AUSTRALIAN DOLLAR/NEW ZEALAND DOLLAR FUTURES, September 2019 (ARU2019)"
